Field,Description
Response ID,Synthetic unique response identifier.
Survey date,Synthetic survey completion date for mock trend visuals.
Region,Synthetic/anonymized region grouping.
Branch,Anonymized branch label; not an actual branch performance value.
Staff member,Anonymized staff label; not a real person.
Staff role,Synthetic role label aligned to service/advice interactions.
Interaction type,Service or Advice.
Appointment type,Advice-only synthetic appointment type; blank for Service.
Channel,"Advice-only channel: phone, in-person, or video; blank for Service."
NPS score,0 to 10 synthetic score.
NPS group,"Promoter = 9-10, Passive = 7-8, Detractor = 0-6."
Satisfaction rating,Text choice aligned to survey scale.
Satisfaction score,Numeric mapping: 5 = Very satisfied to 1 = Very dissatisfied.
Satisfaction group,"Satisfied, Neutral, or Dissatisfied."
Wait time reasonableness,Service-only agreement rating for reasonable wait time.
Behaviour statement,"In the flat file, the highlighted/lowest-scoring behaviour for the response; full matrix detail is in behaviour_statement_responses."
Behaviour score,1 to 5 synthetic agreement score for highlighted behaviour.
Behaviour agreement group,"Agree, Neutral, or Disagree."
Behaviour agreement rating,Text agreement rating: Strongly agree to Strongly disagree.
Value-add outcome selected,Pipe-delimited value-add outcomes selected in the synthetic response.
Any value-add flag,Yes when any value-add outcome other than None of the above is selected.
Verbatim comment,Fictional member comment for dashboard mock-up use only.
Follow-up permission flag,Yes/No for eligible low-satisfaction or low-NPS responses; otherwise Not applicable.
Low-volume warning flag,Yes when synthetic staff response count is below 5.
Dataset label,Illustrative synthetic data — not actual results
